,date,pm2.5,pm10,o3,no2
519,2020-08-19,12.0,21.0,23.0,4.0
520,2020-08-20,27.0,21.0,24.0,2.0
521,2020-08-21,25.0,14.0,22.0,3.0
522,2020-08-22,28.0,10.0,19.0,3.0
523,2020-08-23,12.0,11.0,16.0,4.0
524,2020-08-25,21.0,15.0,19.0,5.0
525,2020-08-26,16.0,12.0,13.0,8.0
526,2020-08-27,18.0,7.0,15.0,8.0
527,2020-08-28,12.0,10.0,15.0,6.0
528,2020-08-29,19.0,14.0,19.0,5.0
529,2020-08-30,19.0,11.0,20.0,8.0
530,2020-08-31,24.0,15.0,24.0,14.0
531,2020-09-01,24.0,15.0,27.0,10.0
532,2020-09-02,29.0,11.0,20.0,6.0
533,2020-09-03,18.0,13.0,18.0,7.0
534,2020-09-04,23.0,13.0,15.0,10.0
535,2020-09-05,28.0,10.0,18.0,8.0
536,2020-09-06,25.0,11.0,15.0,10.0
537,2020-09-07,25.0,10.0,13.0,4.0
538,2020-09-08,14.0,10.0,11.0,7.0
539,2020-09-09,16.0,14.0,21.0,10.0
540,2020-09-10,27.0,16.0,21.0,8.0
541,2020-09-11,32.0,11.0,17.0,5.0
542,2020-09-12,28.0,9.0,19.0,4.0
543,2020-09-13,20.0,15.0,21.0,21.0
544,2020-09-14,34.0,26.0,11.0,21.0
545,2020-09-15,73.0,18.0,31.0,11.0
546,2020-09-16,56.0,8.0,19.0,16.0
547,2020-09-17,22.0,8.0,22.0,13.0
548,2020-09-18,27.0,9.0,31.0,7.0
549,2020-09-19,30.0,10.0,31.0,6.0
550,2020-09-20,36.0,16.0,19.0,22.0
551,2020-09-21,56.0,18.0,19.0,30.0
552,2020-09-22,63.0,9.0,10.0,22.0
553,2020-09-23,36.0,6.0,10.0,23.0
