date, pm25, pm10, no2
2016/10/5, 46, 20, 34
2016/10/6, 47, 23, 43
2016/10/7, 56, 15, 45
2016/10/8, 42, 12, 30
2016/10/9, 35, 12, 28
2016/10/10, 36, 21, 29
2016/10/11, 56, 19, 41
2016/10/12, 51, 23, 36
2016/10/13, 61, 29, 35
2016/10/14, 73, 29, 38
2016/10/15, 72, 18, 50
2016/10/16, 42, 22, 39
2016/10/17, 49, 13, 56
2016/10/18, 32, 9, 35
2016/10/19, 26, 12, 24
2016/10/20, 28, 14, 26
2016/10/21, 36, 18, 26
2016/10/22, 52, 21, 33
2016/10/23, 62, 31, 32
2016/10/24, 77, 41, 43
2016/10/25, 99, 28, 51
2016/10/26, 75, 23, 50
2016/10/27, 63, 19, 51
2016/10/28, 56, 35, 42
2016/10/29, 86, 46, 54
2016/10/30, 124, 51, 49
2016/10/31, 122, 34, 50
2016/11/1, 89, 17, 42
2016/11/2, 44, 34, 33
2016/11/3, 84, 21, 59
2016/11/4, 60, 19, 49
2016/11/5, 53, 14, 24
2016/11/6, 47, 11, 14
2016/11/7, 30, 24, 23
2016/11/8, 63, 12, 45
2016/11/9, 40, 15, 34
2016/11/10, 38, 28, 38
2016/11/11, 67, 21, 44
2016/11/12, 60, 15, 44
2016/11/13, 44, 28, 28
2016/11/14, 69, 19, 51
2016/11/15, 55, 16, 34
2016/11/16, 43, 21, 41
2016/11/17, 48, 17, 50
2016/11/18, 48, 19, 52
2016/11/19, 52, 12, 49
2016/11/20, 38, 16, 29
2016/11/21, 44, 19, 39
2016/11/22, 43, 25, 45
2016/11/23, 60, 20, 43
2016/11/24, 41, 21, 41
2016/11/25, 47, 22, 46
2016/11/26, 59, 19, 37
2016/11/27, 51, 23, 36
2016/11/28, 44, 36, 44
2016/11/29, 78, 45, 56
2016/11/30, 105, 20, 58
2016/12/1, 63, 16, 49
2016/12/2, 52, 13, 44
2016/12/3, 30, 13, 41
2016/12/4, 32, 13, 42
2016/12/5, 49, , 48
2016/12/7, 86, 30, 47
2016/12/8, 78, 35, 44
2016/12/9, 80, 23, 42
2016/12/10, 62, 21, 37
2016/12/11, 52, 29, 38
2016/12/12, 66, 25, 42
2016/12/13, 64, 37, 47
2016/12/14, 78, 40, 44
2016/12/15, 91, 47, 40
2016/12/16, 109, 32, 37
2016/12/17, 90, 25, 39
2016/12/18, 77, 35, 30
2016/12/19, 88, 35, 33
2016/12/20, 90, 26, 37
2016/12/21, 51, 27, 41
2016/12/22, 58, 16, 47
2016/12/23, 38, 21, 46
2016/12/24, 34, 9, 37
2016/12/25, 24, 13, 18
2016/12/26, 29, 34, 27
2016/12/27, 79, 48, 55
2016/12/28, 122, 43, 71
2016/12/29, 101, 32, 66
2016/12/30, 90, 21, 47
2016/12/31, 67, 15, 41
2017/1/1, 46, 13, 33
2016/7/1, 50, 15, 31
2016/7/2, 38, 18, 36
2016/7/3, 48, 20, 41
2016/7/4, 57, 12, 18
2016/7/5, 37, 14, 29
2016/7/6, 42, 25, 59
2016/7/7, 67, 19, 34
2016/7/8, 54, 20, 35
2016/7/9, 54, 16, 29
2016/7/10, 44, 19, 36
2016/7/11, 52, 16, 32
2016/7/12, 47, 12, 18
2016/7/13, 36, 12, 19
2016/7/14, 37, 18, 36
2016/7/15, 52, 12, 26
2016/7/16, 38, 11, 20
2016/7/17, 35, 20, 44
2016/7/18, 53, 29, 54
2016/7/19, 73, 30, 48
2016/7/20, 74, 17, 26
2016/7/21, 49, 31, 43
2016/7/22, 79, 26, 49
2016/7/23, 69, 15, 32
2016/7/24, 45, 14, 22
2016/7/25, 35, 18, 35
2016/7/26, 47, 19, 37
2016/7/27, 54, 18, 41
2016/7/28, 48, 17, 41
2016/7/29, 49, 14, 20
2016/7/30, 45, 10, 19
2016/7/31, 29, 17, 38
2016/8/1, 47, 20, 37
2016/8/2, 56, 17, 31
2016/8/3, 44, 16, 29
2016/8/4, 41, 16, 31
2016/8/5, 43, 17, 34
