date, pm25, pm10, o3, no2, so2, co
2014/5/1, 78, 18, 22, 27, 1, 3
2014/5/2, 50, 13, 25, 28, 1, 2
2014/5/3, 40, 24, 14, 51, 4, 5
2014/5/4, 63, 29, 16, 54, 3, 5
2014/5/5, 74, 25, 15, 59, 6, 6
2014/5/6, 64, 21, 12, 55, 6, 6
2014/5/7, 53, 21, 2, 45, 6, 6
2014/5/8, 56, 24, 9, 46, 5, 4
2014/5/9, 59, 19, 10, 37, 4, 3
2014/5/10, 51, 18, 13, 39, 3, 3
2014/5/11, 45, 18, 9, 43, 5, 4
2014/5/12, 48, 17, 9, 40, 4, 3
2014/5/13, 49, 13, 18, 34, 2, 2
2014/5/14, 41, 23, 14, 42, 3, 3
2014/5/15, 68, 27, 13, 43, 4, 3
2014/5/16, 74, , , , , 
2014/5/18, 68, 37, 15, 54, 3, 4
2014/5/19, 98, 27, 12, 57, 5, 5
2014/5/20, 75, 18, 13, 40, 4, 3
2014/5/21, 59, 17, 15, 45, 5, 4
2014/5/22, 55, 18, 13, 46, 4, 2
2014/5/23, 58, 17, 11, 40, 4, 
2014/5/24, 56, 15, 11, 33, 3, 
2014/5/25, 49, 12, 15, 22, 3, 
2014/5/26, 36, 9, 18, 18, 2, 2
2014/5/27, 38, 38, 16, 24, 4, 3
2014/5/28, 41, 21, 6, 35, 5, 4
2014/5/29, 66, 17, 16, 21, 2, 1
2014/5/30, 53, 15, 22, 25, 2, 1
2014/5/31, 52, 19, 18, 25, 3, 2
2014/6/1, 66, 22, 9, 47, 6, 4
2014/6/2, 66, 20, 8, 43, 6, 5
2014/6/3, 67, 19, 7, 48, 7, 4
2014/6/4, 61, 35, 4, 30, 5, 
2014/6/5, 55, , 12, 59, 5, 4
2014/6/6, 63, , 10, 39, 4, 4
2014/6/7, 70, , 11, 39, 5, 4
2014/6/8, 55, 31, 16, 43, 5, 4
2014/6/9, 63, , 7, 45, 6, 4
2014/6/10, 62, 42, 13, 34, 4, 3
2014/6/11, 52, , 18, 36, 3, 2
2014/6/12, 53, , 23, 29, 2, 2
2014/6/13, 57, , 17, 13, 1, 1
2014/6/14, 42, , 21, 4, , 
2014/6/15, 19, 9, 17, 9, 1, 
2014/6/16, 22, 10, 19, 9, , 
2014/6/17, 31, 8, 12, 13, 1, 1
2014/6/18, 28, 19, 5, 30, 4, 4
2014/6/19, 57, 14, 10, 33, 3, 3
2014/6/20, 41, 15, 17, 35, 3, 3
2014/6/21, 47, 19, 11, 40, 3, 4
2014/6/22, 53, 18, 9, 45, 4, 4
2014/6/23, 49, 19, 16, 32, 3, 3
2014/6/24, 58, 10, 14, 31, 2, 3
2014/6/25, 31, 18, 10, 50, 4, 4
